Frame_Number,Vehicle_ID,Vehicle_Bbox,License_Plate_Bbox,License_Plate_Bbox_Score,License_Number,License_Number_Score
136,1.0,"[1022.0431751463545, 609.4397834870076, 1305.04246717915, 848.0287380326073]","[1125.1842041015625, 758.7608642578125, 1228.254638671875, 804.5945434570312]",0.0,,0.0
137,1.0,"[1022.0462907086257, 611.3600847602297, 1306.8450375479092, 850.3974489858053]","[1125.032958984375, 761.0804443359375, 1228.2161865234375, 804.293701171875]",0.5574913024902344,AP05JEO,0.4718105983024765
138,1.0,"[1023.622395708737, 614.2686059942049, 1308.4697122944656, 853.5566157390073]","[1116.087646484375, 763.27734375, 1236.16845703125, 804.6602783203125]",0.5223341584205627,AP05JEQ,0.5418498334411161
139,1.0,"[1024.5744257336992, 615.4310545688079, 1310.1918015885867, 855.8411314972079]","[1123.5067138671875, 764.047607421875, 1231.9876708984375, 806.0418701171875]",0.0,,0.0
140,1.0,"[1025.526455758661, 616.5935031434109, 1311.9138908827076, 858.1256472554086]","[1130.92578125, 764.81787109375, 1227.806884765625, 807.4234619140625]",0.5438804030418396,AP05JEQ,0.8114078036700085
141,1.0,"[1024.7213419550542, 618.7319617233615, 1312.5123647517655, 862.024102787975]","[1134.080322265625, 770.49609375, 1228.7135009765625, 813.37060546875]",0.5018231868743896,AP05JEO,0.7151743516983452
142,1.0,"[1023.8287232672405, 620.0195501223654, 1313.4317701708449, 865.0524156856046]","[1130.3076171875, 771.86181640625, 1233.4288940429688, 816.3998413085938]",0.0,,0.0
143,1.0,"[1022.9361045794269, 621.3071385213694, 1314.3511755899242, 868.0807285832342]","[1126.534912109375, 773.2275390625, 1238.144287109375, 819.4290771484375]",0.4465506672859192,AP05JEO,0.259051324051948
144,1.0,"[1023.4833419325873, 624.0219209426903, 1316.5141339270967, 872.5999106381785]","[1129.2725830078125, 778.9685668945312, 1231.6263427734375, 826.7543334960938]",0.4434075355529785,AP05JEO,0.4518252192210728
145,1.0,"[1023.6280479509815, 626.1109805191276, 1317.8670130200812, 875.2377283726065]","[1132.4127197265625, 777.4601440429688, 1235.0670166015625, 825.1210327148438]",0.5773290991783142,AP05JEO,0.9524493406062076
146,1.0,"[1024.540921831824, 628.4975121545468, 1319.1360629212668, 878.598728061084]","[1132.740478515625, 782.5658569335938, 1236.807861328125, 829.1453247070312]",0.5759048461914062,AP05JEO,0.1225181729917066
147,1.0,"[1025.607749424827, 630.6982938430765, 1320.573294031698, 882.4098402881386]","[1131.2353515625, 785.6046752929688, 1238.290771484375, 828.7879028320312]",0.5704398155212402,AP05JED,0.2349056689204681
148,1.0,"[1024.3341285505498, 632.344693623981, 1320.7260772333357, 885.0830543277099]","[1127.69140625, 786.3008422851562, 1240.91064453125, 828.8560180664062]",0.5883156061172485,AP05JEO,0.8380353068844044
149,1.0,"[1025.671607690861, 634.3698666688902, 1323.4280340985565, 888.6508061450686]","[1134.684326171875, 791.8881225585938, 1239.124267578125, 832.3302612304688]",0.6025272607803345,AP05JED,0.0978500835211649
150,1.0,"[1026.8676971920004, 636.7887957612048, 1327.1505465553314, 892.7057562620793]","[1136.218017578125, 791.2833251953125, 1242.2158203125, 840.7040405273438]",0.5791440010070801,AP05JEO,0.3924107661747028
151,1.0,"[1027.0739025603318, 637.874658916289, 1329.573152252509, 894.8981766358233]","[1131.113037109375, 791.0502319335938, 1238.7811279296875, 842.0121459960938]",0.5774247050285339,AP05JEO,0.5908106436065349
152,1.0,"[1023.9718477989135, 640.0469804034433, 1328.9534187892095, 896.9020632061813]","[1132.906982421875, 793.4199829101562, 1244.5950927734375, 844.7019653320312]",0.551537036895752,AP05JEO,0.5411602105536348
153,1.0,"[1023.8893664827365, 641.5722062487138, 1330.1924196460513, 899.385064478962]","[1135.9189453125, 797.4272155761719, 1243.0927124023438, 847.6107482910156]",0.0,,0.0
154,1.0,"[1023.8068851665596, 643.0974320939843, 1331.431420502893, 901.8680657517427]","[1138.930908203125, 801.4344482421875, 1241.59033203125, 850.51953125]",0.5791705846786499,AP05JEO,0.2370445985659469
155,1.0,"[1024.8040942178195, 645.3072750951662, 1335.5218121882317, 904.6335124984146]","[1134.43359375, 804.5681762695312, 1243.52001953125, 852.9598388671875]",0.56527179479599,XP05JEO,0.2820692711557623
156,1.0,"[1025.5840246500736, 650.1656097075031, 1335.8084341065871, 909.5775090874538]","[1132.600830078125, 808.3361206054688, 1244.024169921875, 852.1646118164062]",0.5661283731460571,AP05JEQ,0.278908983746812
157,1.0,"[1022.184711471741, 651.0856277461367, 1333.5079754598564, 911.1475658254585]","[1132.1942138671875, 808.8385620117188, 1247.8740234375, 853.5005493164062]",0.5597853660583496,AP05JEO,0.1284218885110855
158,1.0,"[1021.7111905845169, 653.2556665035028, 1333.922083428833, 913.7860760456889]","[1139.537353515625, 812.6541748046875, 1244.8375244140625, 855.8377685546875]",0.6166508793830872,AP05JEO,0.2901894188443351
159,1.0,"[1021.6674331278699, 655.0943942863075, 1334.6582322066063, 916.4644685533137]","[1137.8045654296875, 815.08154296875, 1243.87060546875, 859.805419921875]",0.5075491070747375,AP05JEO,0.3065726322369196
160,1.0,"[1022.8327494449078, 657.5616664716176, 1335.5921456395918, 919.7747248885851]","[1138.3897298177083, 818.549072265625, 1245.8734537760417, 864.4367065429688]",0.0,,0.0
161,1.0,"[1023.9980657619456, 660.0289386569277, 1336.5260590725773, 923.0849812238564]","[1138.9748942057292, 822.0166015625, 1247.8763020833333, 869.0679931640625]",0.0,,0.0
162,1.0,"[1025.1633820789834, 662.4962108422378, 1337.4599725055627, 926.3952375591277]","[1139.56005859375, 825.484130859375, 1249.879150390625, 873.6992797851562]",0.581389844417572,AP05JEO,0.4741980497438177
163,1.0,"[1028.0121783494603, 664.7026965934328, 1340.0309626814526, 929.4358843704977]","[1142.92431640625, 825.4868774414062, 1253.223876953125, 876.0144653320312]",0.5996047854423523,AP05JED,0.6077023416028547
164,1.0,"[1029.7775294115531, 666.6672406137781, 1341.3506384478505, 933.0081785812523]","[1139.319580078125, 829.0394897460938, 1254.126953125, 876.9087524414062]",0.5554181337356567,AP05JEO,0.5687017705899938
165,1.0,"[1032.8495043221674, 669.1683112002389, 1342.7055670120071, 937.4370663088436]","[1134.648681640625, 832.3341064453125, 1259.80029296875, 878.4893188476562]",0.588870644569397,AP05JEO,0.2198207540875739
166,1.0,"[1031.3447463739103, 671.706380948979, 1341.5308043809373, 941.1704879543298]","[1139.999267578125, 835.896484375, 1260.2918701171875, 878.7210693359375]",0.5674548149108887,AP05JED,0.1524889976468848
167,1.0,"[1030.1120849759552, 674.6178764213286, 1341.873387359625, 944.6384823932998]","[1144.5262451171875, 837.3453369140625, 1258.4635009765625, 882.1799926757812]",0.4934195578098297,AP05JEQ,0.3058437323036418
168,1.0,"[1034.8953115609802, 676.8635166425904, 1345.1659853476226, 947.2153321489325]","[1145.398681640625, 844.0660400390625, 1256.14111328125, 887.9285888671875]",0.5285261273384094,AP75IFI,0.0615399646951076
169,1.0,"[1037.3033585895498, 678.4932981964942, 1347.1255440003313, 948.9116237868252]","[1145.1033935546875, 846.5172729492188, 1255.1004638671875, 892.8348999023438]",0.0,,0.0
170,1.0,"[1039.7114056181194, 680.123079750398, 1349.08510265304, 950.6079154247178]","[1144.80810546875, 848.968505859375, 1254.059814453125, 897.7412109375]",0.5493519306182861,AP05JEO,0.2628341555016656
171,1.0,"[1039.3134408915896, 684.7036898013412, 1349.4446055714022, 955.8482504174729]","[1145.341064453125, 853.9716796875, 1259.78173828125, 899.5960693359375]",0.5707954168319702,AP25JED,0.4845367604688363
172,1.0,"[1037.0618398942013, 687.217256333011, 1350.379828851282, 958.9507363739509]","[1142.4259033203125, 855.2655029296875, 1260.137939453125, 900.8258056640625]",0.5832479596138,AP05JEO,0.8366914145777475
173,1.0,"[1040.0489152680934, 689.4214448143496, 1353.1991220047748, 962.0420691682561]","[1140.630615234375, 857.3673706054688, 1265.138671875, 903.8761596679688]",0.5887221097946167,AP05JEO,0.7783698266295522
174,1.0,"[1040.8300252619142, 692.8787547236385, 1354.0354592427611, 965.6459802795164]","[1146.1581420898438, 861.0608825683594, 1263.770263671875, 907.2355041503906]",0.0,,0.0
175,1.0,"[1041.6111352557352, 696.3360646329274, 1354.8717964807472, 969.2498913907766]","[1151.6856689453125, 864.75439453125, 1262.40185546875, 910.5948486328125]",0.5605059266090393,AP05JEU,0.7672323240819698
176,1.0,"[1041.2241349990336, 699.9268728142312, 1355.039311290429, 973.1745170157038]","[1156.260498046875, 867.2369384765625, 1271.9619140625, 913.061279296875]",0.5277844071388245,AF05JED,0.3279466279675815
177,1.0,"[1044.0705092586074, 703.3570291136174, 1358.4430189614243, 977.0859264324116]","[1154.091796875, 873.2025146484375, 1267.244384765625, 923.4862060546875]",0.5716086030006409,AP05JEO,0.54168108220551
178,1.0,"[1044.386906806648, 705.718215199865, 1361.4845226729337, 980.4730042149638]","[1154.647216796875, 874.2617797851562, 1265.9476318359375, 922.8299560546875]",0.5437029600143433,AP05JEO,0.6204278110554147
179,1.0,"[1045.2203426612, 707.9615154373146, 1364.2904781186458, 983.7514775190043]","[1154.972900390625, 882.2098388671875, 1268.98974609375, 927.1373291015625]",0.5138159394264221,AP05JEO,0.2698940710258024
180,1.0,"[1046.298527255366, 710.8340640053555, 1366.0513844100415, 988.2681626105909]","[1158.5050048828125, 882.9666137695312, 1268.044677734375, 927.7765502929688]",0.5709807872772217,AP05JEO,0.7300571789071876
181,1.0,"[1047.0697955312642, 713.359330428559, 1366.9752044424674, 992.3710184255752]","[1158.173583984375, 886.019775390625, 1269.8829345703125, 931.78955078125]",0.5802974104881287,AP05JEO,0.2046489124708954
182,1.0,"[1046.5504958998574, 714.4021445136096, 1369.526677573442, 994.6918324617412]","[1158.453857421875, 886.4108276367188, 1277.584716796875, 936.0617065429688]",0.5597112774848938,AP05JED,0.6627910457685694
183,1.0,"[1044.8725273182695, 716.9668960185168, 1373.4569464591486, 998.0119141559946]","[1157.1702880859375, 893.4581909179688, 1278.2957763671875, 940.7660522460938]",0.4932033717632293,AP05JEO,0.1380463277749591
184,1.0,"[1045.520288271644, 719.5315961038416, 1376.4159834487336, 1000.7203535457218]","[1160.966796875, 895.0399169921875, 1274.680419921875, 944.3292236328125]",0.5339065194129944,AP05JED,0.9701082368294236
185,1.0,"[1045.657633499111, 723.0628223723974, 1378.9399508275155, 1005.1326415077741]","[1158.428466796875, 898.997314453125, 1279.94580078125, 948.23291015625]",0.5973926186561584,AP05JED,0.9623150836785044
186,1.0,"[1045.858427254947, 726.8246197878035, 1382.2367111815006, 1010.2028586646423]","[1155.114013671875, 903.5771484375, 1283.4439697265625, 949.7314453125]",0.5801822543144226,AP05JEO,0.567773953421031
187,1.0,"[1044.316260454069, 729.1618399328446, 1381.8978770938297, 1013.7318589205871]","[1160.3388671875, 904.0109252929688, 1283.3714599609375, 952.2324829101562]",0.6074314713478088,AP05JEQ,0.1664079417317942
188,1.0,"[1045.675550669474, 733.1292844071024, 1385.0748220397645, 1018.1394557836113]","[1160.3388671875, 909.681884765625, 1274.800537109375, 953.607421875]",0.5574688911437988,AP05JED,0.6740873025355586
189,1.0,"[1045.5598453287967, 737.4784480741139, 1385.0845209918248, 1022.9696109866857]","[1167.3424072265625, 914.9827880859375, 1284.2017822265625, 961.4249267578125]",0.5927462577819824,AP05JEO,0.6428918033766791
190,1.0,"[1045.7183458546954, 739.7486363210216, 1387.225901170056, 1026.0250543918514]","[1160.513916015625, 917.290283203125, 1279.934814453125, 964.806884765625]",0.5919267535209656,AP05JED,0.3542109643005601
191,1.0,"[1043.5631868296175, 743.7922104503821, 1385.5879032973432, 1030.9414868656006]","[1165.2022705078125, 920.3497314453125, 1289.8040771484375, 969.84765625]",0.5582391023635864,AP05JEO,0.4044240862766687
192,1.0,"[1043.6810060927035, 748.1197750263408, 1386.9186729705746, 1035.7418309172199]","[1158.273681640625, 926.3849487304688, 1289.116455078125, 974.9280395507812]",0.5919693112373352,AP05JEO,0.585802860435667
193,1.0,"[1045.1184283870984, 751.0016483762654, 1387.8607706286061, 1039.4008322531206]","[1160.455810546875, 928.9718627929688, 1289.70703125, 974.9544067382812]",0.5934941172599792,AP05JEO,0.3299397582245839
194,1.0,"[1044.7632698725185, 753.1710290021915, 1389.8406347815833, 1042.5685700853421]","[1173.8037109375, 933.0869750976562, 1290.3404541015625, 980.176025390625]",0.57903653383255,AP05JEO,0.4134427963528486
195,1.0,"[1046.8034638568442, 756.0297624602853, 1392.5409268147296, 1046.1709213803556]","[1167.4931640625, 935.6824951171875, 1293.7216796875, 984.592529296875]",0.5542857646942139,AP05JEO,0.8418289374961504
196,1.0,"[1046.6175872825177, 758.6149271808166, 1392.3977370359964, 1048.9743955817826]","[1165.38330078125, 940.7942504882812, 1296.586181640625, 989.7398071289062]",0.5143475532531738,AP05JEQ,0.2746595553473089
197,1.0,"[1047.2832958935774, 761.4153449714662, 1395.4392984874476, 1053.0118342469154]","[1170.6192626953125, 944.8509521484375, 1295.458251953125, 995.5133056640625]",0.5781852602958679,AP05JEO,0.2519768786412932
198,1.0,"[1048.3671364116076, 765.0026569807075, 1400.944545626482, 1058.0644901939593]","[1168.8116455078125, 949.6142578125, 1294.9332275390625, 996.47607421875]",0.5501608848571777,AP05JEQ,0.7170988031697416
199,1.0,"[1050.045278412182, 767.7704682475719, 1405.3896812633236, 1061.4225789125273]","[1168.411865234375, 950.7149047851562, 1299.02294921875, 997.9367065429688]",0.5702652931213379,AP05JEQ,0.4692611341253708
200,1.0,"[1050.3453902645927, 770.6005702377817, 1408.7332617519944, 1065.3360176831209]","[1177.124755859375, 955.4804077148438, 1298.833984375, 1002.7219848632812]",0.5776252150535583,AP05JEO,0.6354903265725345
201,1.0,"[1050.3125049715973, 773.7296065692653, 1409.3796386452905, 1068.8162141099085]","[1176.3753662109375, 959.6435546875, 1302.6591796875, 1010.925537109375]",0.4599649012088775,AP05JEO,0.4958903970322288
202,1.0,"[1051.6268348662247, 776.0517615529462, 1411.843292110881, 1071.0900665055246]","[1176.739990234375, 963.5180053710938, 1301.3486328125, 1014.2741088867188]",0.5398489832878113,KP05JEO,0.3186597483546015
203,1.0,"[1051.7279814089648, 779.6121445730262, 1415.145231795092, 1073.5228902231486]","[1182.7939453125, 968.239990234375, 1305.46875, 1018.720703125]",0.6120164394378662,AP05JEQ,0.5005661582972302
204,1.0,"[1051.8807807896146, 782.8064568815338, 1417.1230255291234, 1075.1604370980558]","[1183.0465087890625, 972.0809733072916, 1306.1593017578125, 1021.7036539713541]",0.0,,0.0
205,1.0,"[1052.0335801702645, 786.0007691900414, 1419.1008192631548, 1076.7979839729633]","[1183.299072265625, 975.9219563802084, 1306.849853515625, 1024.6866048177083]",0.0,,0.0
206,1.0,"[1052.1863795509144, 789.195081498549, 1421.0786129971862, 1078.4355308478705]","[1183.5516357421875, 979.762939453125, 1307.5404052734375, 1027.6695556640625]",0.6201955676078796,AP05JEO,0.329187029191744
207,1.0,"[1051.911825562319, 792.5499003220665, 1424.130471347207, 1078.855572051943]","[1187.960205078125, 985.8414306640625, 1309.1336669921875, 1033.8502197265625]",0.5768210887908936,AP05JEO,0.4240295728257243
208,1.0,"[1050.7528319116743, 795.4698011796673, 1425.7990103345726, 1078.7671661236795]","[1186.4453125, 987.2356567382812, 1313.0284423828125, 1040.6787109375]",0.5925869345664978,AP05JEO,0.4379126043876138
209,1.0,"[1054.8132476300864, 797.5824109776948, 1429.8949333572803, 1077.7467621535102]","[1181.5806884765625, 993.9501342773438, 1317.154541015625, 1044.498291015625]",0.5737141370773315,AP05JEO,0.1910266583065455
210,1.0,"[1054.5182034502277, 800.5137241442704, 1431.6444492755136, 1077.0107192511618]","[1181.607666015625, 997.774658203125, 1315.34033203125, 1048.130126953125]",0.5762123465538025,AP05JEO,0.2364737608842139
211,1.0,"[1055.1730073211656, 803.7345741779052, 1433.1123378690554, 1075.5669877862867]","[1184.59423828125, 998.9657592773438, 1318.4600830078125, 1048.42333984375]",0.5963220000267029,AP05JEQ,0.2418682785606767
212,1.0,"[1054.6107948605368, 806.4325312617487, 1431.9581193911813, 1076.9470752190555]","[1186.578857421875, 1003.739501953125, 1322.6336669921875, 1056.8997802734375]",0.6015824675559998,AP05JEO,0.3693885793212595
213,1.0,"[1056.218416006901, 810.6774385731384, 1434.3125717001694, 1078.1941436543777]","[1190.363525390625, 1013.546630859375, 1321.071533203125, 1066.3875732421875]",0.5470446348190308,AP05JEO,0.8046484350340655
214,1.0,"[1056.9070858578914, 813.9079561744771, 1433.8411839640128, 1078.9793138386003]","[1190.98046875, 1012.92041015625, 1323.5555419921875, 1067.4481201171875]",0.5793705582618713,AP05JEO,0.2302466065929514
215,1.0,"[1055.6317101669651, 817.3979316465632, 1431.9253120901635, 1079.8820378062248]","[1185.55859375, 1020.3678588867188, 1335.445068359375, 1069.1962890625]",0.5784180760383606,AP05JEO,0.654744658018075
