Frame_Number,Vehicle_ID,Vehicle_Bbox,License_Plate_Bbox,License_Plate_Bbox_Score,License_Number,License_Number_Score
73,6.0,[525.0901770045342 633.0502269355046 841.6427436994985 883.3127536162966],[631.50341796875 779.0718383789062 733.3121948242188 833.7987670898438],0.5504310727119446,CX15OCJ,0.32610323074608766
74,6.0,[524.7810618760399 636.3314512532698 840.7403328688625 886.9568223955624],[629.8660278320312 783.22900390625 730.1792602539062 837.31298828125],0.5200144052505493,GX15QEJ,0.4963690181896422
79,6.0,[517.664573892422 645.942070378178 841.122297104312 902.5996749558233],[631.9783935546875 801.495849609375 729.1986694335938 854.337158203125],0.400322288274765,GX15OGJ,0.4917412320841684
80,6.0,[515.2489425481049 648.5794115794849 841.1308045200403 905.4122494149699],[619.24755859375 803.7962646484375 717.789794921875 857.048095703125],0.5047245621681213,GX15OGJ,0.5157918659012107
81,6.0,[511.49731609419484 651.7758553684439 840.0575882131044 908.6909060189482],[617.9353637695312 805.0929565429688 718.38427734375 862.2958374023438],0.41248223185539246,GX15OGJ,0.06735142272032152
88,6.0,[498.06339806612925 667.5897178738235 841.074495937684 934.7469157568439],[622.7492065429688 828.5692138671875 717.104736328125 882.9124755859375],0.4871078431606293,GX15OGJ,0.5467536049890184
90,6.0,[497.5462107517898 674.2857988131987 843.1979673111217 942.7884733003809],[611.2352294921875 836.49462890625 714.3280639648438 886.379150390625],0.36451849341392517,GX15OGJ,0.518191842024944
91,6.0,[496.3985899132545 676.7804445414563 843.0409450353418 946.2893464195674],[610.3579711914062 843.4356079101562 717.9610595703125 895.2460327148438],0.4348369240760803,CX15OGJ,0.2523414607676381
93,6.0,[489.82621026423004 683.3072599477132 842.5198428879485 953.7751646049103],[608.9609375 849.6575317382812 716.94921875 902.6585083007812],0.38921913504600525,CX15OGJ,0.2583730169128938
95,1.0,[1028.8810662086198 542.2174444437183 1271.881472799395 755.3671160941349],[1106.12158203125 663.2825317382812 1193.612060546875 713.2647705078125],0.26974251866340637,AF05JEO,0.26446434170193833
98,6.0,[480.6266909702211 695.6049767803086 840.4085386098075 973.1070636271234],[605.3300170898438 867.0206298828125 711.509765625 919.422607421875],0.5323073863983154,GX15OCJ,0.6468640479952177
100,6.0,[477.22173237095825 703.0316274335418 837.9358129807238 981.0943097401192],[597.9325561523438 872.3618774414062 713.1024169921875 928.0869140625],0.25268223881721497,GX15OGJ,0.6429890834237373
101,6.0,[475.62493808054955 705.8188831663488 838.0319907661005 985.7802575336243],[595.68798828125 873.1100463867188 710.881591796875 930.2609252929688],0.4489448070526123,GX15OGJ,0.2914884852199017
